brand,dtime,atime,price,dcity,acity,flight_type,class_type,ddate,flytime_hours
Vietravel Airlines,23:59:00,02:15:00,1377000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.2666666666666666
VietJet Air,22:25:00,00:35:00,1447000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.1666666666666665
VietJet Air,23:30:00,01:35:00,1447000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.0833333333333335
VietJet Air,23:40:00,01:50:00,1447000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.1666666666666665
VietJet Air,21:40:00,23:50:00,1563000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.1666666666666665
Vietnam Airlines,19:20:00,21:40:00,6003000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.3333333333333335
Vietnam Airlines,21:00:00,23:10:00,6004000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.1666666666666665
Vietnam Airlines,20:00:00,22:15:00,7113000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.25
Vietnam Airlines,20:40:00,22:50:00,7113000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.1666666666666665
Vietnam Airlines,18:45:00,21:00:00,8499000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.25
Vietnam Airlines,19:00:00,21:15:00,8499000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.25
Vietnam Airlines,21:00:00,23:20:00,10492000,ho-chi-minh-city,hanoi,oneway,economy,2023-12-06,2.3333333333333335
Vietnam Airlines,19:50:00,21:20:00,2688000,da-nang,hanoi,oneway,economy,2023-12-06,1.5
Vietnam Airlines,18:25:00,19:55:00,2688000,da-nang,hanoi,oneway,economy,2023-12-06,1.5
Vietnam Airlines,20:30:00,22:00:00,2688000,da-nang,hanoi,oneway,economy,2023-12-06,1.5
VietJet Air,21:25:00,09:10:00,3892000,da-nang,hanoi,oneway,economy,2023-12-06,11.75
VietJet Air,21:25:00,08:40:00,4074000,da-nang,hanoi,oneway,economy,2023-12-06,11.25
VietJet Air,21:25:00,07:25:00,4223000,da-nang,hanoi,oneway,economy,2023-12-06,
VietJet Air,21:25:00,08:10:00,4223000,da-nang,hanoi,oneway,economy,2023-12-06,10.75
Vietnam Airlines,22:10:00,07:20:00,5258000,da-nang,hanoi,oneway,economy,2023-12-06,9.166666666666666
A.P.G. Distribution System,21:25:00,08:40:00,6345000,da-nang,hanoi,oneway,economy,2023-12-06,11.25
A.P.G. Distribution System,21:25:00,10:15:00,6345000,da-nang,hanoi,oneway,economy,2023-12-06,12.833333333333334
A.P.G. Distribution System,21:25:00,11:40:00,6345000,da-nang,hanoi,oneway,economy,2023-12-06,14.25
A.P.G. Distribution System,21:25:00,12:20:00,6345000,da-nang,hanoi,oneway,economy,2023-12-06,14.916666666666666
A.P.G. Distribution System,21:25:00,07:25:00,6675000,da-nang,hanoi,oneway,economy,2023-12-06,
A.P.G. Distribution System,21:25:00,08:10:00,6675000,da-nang,hanoi,oneway,economy,2023-12-06,10.75
Vietnam Airlines,23:00:00,07:20:00,8478000,da-nang,hanoi,oneway,economy,2023-12-06,8.333333333333334
